ArraySize,AdditionsPerSecond,ActualRuntime
1402294,729435859.089736,1968572
1402294,729474767.928545,1968467
1402294,729501821.281715,1968394
2050785,729473618.100926,1439396
2050785,729472097.729677,1439399
2050785,729458414.673627,1439426
2050785,729184861.309225,1439966
2050785,729229932.834541,1439877
2050785,729427502.992386,1439487
2050785,729472097.729677,1439399
2050785,729474631.685279,1439394
2050785,728267424.988556,1441780
2050785,729487301.727354,1439369
2050785,729140808.011927,1440053
2050785,729114986.139890,1440104
2050785,729459428.215731,1439424
2050785,729431556.834105,1439479
2050785,729455374.064214,1439432
2050785,729485781.299067,1439372
2050785,729490849.418006,1439362
2050785,729474124.892750,1439395
2050785,729475645.272448,1439392
2050785,729141314.341426,1440052
2999171,729139687.978393,1053004
2999171,729460427.669801,1052541
2999171,729436171.829873,1052576
2999171,729481912.760924,1052510
2999171,729393208.301429,1052638
2999171,729133456.092185,1053013
2999171,729464585.975763,1052535
2999171,729220712.194186,1052887
2999171,729467358.206077,1052531
2999171,729363413.987713,1052681
2999171,729436171.829873,1052576
2999171,729471516.591055,1052525
2999171,729479833.503244,1052513
2999171,729434785.830599,1052578
2999171,729410531.695884,1052613
2999171,729451418.169519,1052554
2999171,729434785.830599,1052578
2999171,729384893.364366,1052650
2999171,729208938.326761,1052904
2999171,729442408.891786,1052567
4386138,729445051.782538,1539322
4386138,729443156.290480,1539326
4386138,729427992.708649,1539358
4386138,729443630.162571,1539325
4386138,729386769.907337,1539445
4386138,729455951.053044,1539299
4386138,729129114.558610,1539989
4386138,729447421.161463,1539317
4386138,729418515.790144,1539378
4386138,729182146.366236,1539877
4386138,729483911.540760,1539240
4386138,729429414.267664,1539355
4386138,729364975.826426,1539491
4386138,729454529.390594,1539302
4386138,729451686.082318,1539308
4386138,729418041.950683,1539379
4386138,729431309.688304,1539351
4386138,729458794.394569,1539293
4386138,729427045.005717,1539360
4386138,729425149.607240,1539364
6414508,729386943.547950,1125681
6414508,729386295.596803,1125682
6414508,729413510.536228,1125640
6414508,729453040.612876,1125579
6414508,729415454.538186,1125637
6414508,729169296.733531,1126017
6414508,729405734.632018,1125652
6414508,729450448.345435,1125583
6414508,729432951.022112,1125610
6414508,729436191.203842,1125605
6414508,729442023.603495,1125596
6414508,729175124.865898,1126008
6414508,729457577.125231,1125572
6414508,729184838.626883,1125993
6414508,729453040.612876,1125579
6414508,729418046.556915,1125633
6414508,729456929.048582,1125573
6414508,729415454.538186,1125637
6414508,729445263.865827,1125591
6414508,729440079.459914,1125599
9380897,729473334.155500,1646057
9380897,729494606.651604,1646009
9380897,729431235.997648,1646152
9380897,729416170.469194,1646186
9380897,729448517.811353,1646113
9380897,729466243.599160,1646073
9380897,729450733.487718,1646108
9380897,729197790.218980,1646679
9380897,729128715.384358,1646835
9380897,729374521.952523,1646280
9380897,729440098.363922,1646132
9380897,729373192.822862,1646283
9380897,729458266.888040,1646091
9380897,729449847.215557,1646110
9380897,729473334.155500,1646057
9380897,729370977.617525,1646288
9380897,729454721.739093,1646099
9380897,729470232.020140,1646064
9380897,729463141.524106,1646080
9380897,729472890.991690,1646058
13719093,729409756.069194,1203743
13719093,729452781.156328,1203672
13719093,729438236.897024,1203696
13719093,729370977.241368,1203807
13719093,729494599.132771,1203603
13719093,729466113.903543,1203650
13719093,729463083.690925,1203655
13719093,729410362.021098,1203742
13719093,729455205.255934,1203668
13719093,729179567.203683,1204123
13719093,729337654.980388,1203862
13719093,729464901.815475,1203652
13719093,729421875.298553,1203723
13719093,728968284.858428,1204472
13719093,729135968.842256,1204195
13719093,729447326.991121,1203681
13719093,729481265.344272,1203625
13719093,729423693.217692,1203720
13719093,729161400.586138,1204153
13719093,729473992.574173,1203637
20063488,729431351.051659,1760362
20063488,729321975.251984,1760626
20063488,729364230.195101,1760524
20063488,729211389.902737,1760893
20063488,729391574.238068,1760458
20063488,727853144.153740,1764179
20063488,729251975.386118,1760795
20063488,729468645.754747,1760272
20063488,729313690.543130,1760646
20063488,728468397.998739,1762689
20063488,729426793.071696,1760373
20063488,729386602.441393,1760470
20063488,729354287.415055,1760548
20063488,729403589.693194,1760429
