ArraySize,AdditionsPerSecond,ActualRuntime
31334,2924475886.369268,1404268
31334,2924613341.955075,1404202
31334,2924438400.724639,1404286
45825,2921821967.747428,1027825
45825,2921458144.487151,1027953
45825,2921409831.026197,1027970
45825,2920219551.162060,1028389
45825,2918757886.061285,1028904
45825,2921642887.162804,1027888
45825,2921745216.237357,1027852
45825,2921799226.138876,1027833
45825,2921705420.745506,1027866
45825,2921492249.068769,1027941
45825,2921537723.082910,1027925
45825,2916122077.927123,1029834
45825,2920566024.194105,1028267
45825,2921617306.014124,1027897
45825,2920767697.987543,1028196
45825,2919995239.521307,1028468
45825,2921833338.684459,1027821
45825,2914486306.448294,1030412
45825,2921634360.063469,1027891
45825,2920994969.439246,1028116
67017,2919621652.991343,1504291
67017,2920574927.516957,1503800
67017,2919751696.555832,1504224
67017,2919578954.645742,1504313
67017,2920934265.752869,1503615
67017,2920901241.793205,1503632
67017,2920786635.020093,1503691
67017,2920856563.506922,1503655
67017,2920631250.369904,1503771
67017,2919573132.240832,1504316
67017,2920895414.113132,1503635
67017,2920802174.394470,1503683
67017,2919575073.039888,1504315
67017,2920644845.866771,1503764
67017,2920514722.731477,1503831
67017,2919906987.628844,1504144
67017,2919644943.524439,1504279
67017,2920868218.580267,1503649
67017,2919443104.581746,1504383
67017,2920747787.307534,1503711
98010,2920463945.772478,1099663
98010,2920453322.687686,1099667
98010,2920445355.424809,1099670
98010,2920363029.587133,1099701
98010,2920530341.803394,1099638
98010,2920469257.343854,1099661
98010,2918738707.985818,1100313
98010,2918791761.830712,1100293
98010,2919311791.596559,1100097
98010,2920301952.126170,1099724
98010,2920400208.422942,1099687
98010,2919192380.619956,1100142
98010,2919375481.445322,1100073
98010,2920424109.602993,1099678
98010,2919364866.277543,1100077
98010,2920554245.113579,1099629
98010,2918932363.847888,1100240
98010,2920368340.791435,1099699
98010,2920434732.475261,1099674
98010,2920386930.158627,1099692
143335,2919402715.955914,1608789
143335,2919547895.859351,1608709
143335,2919500710.806938,1608735
143335,2915220483.931135,1611097
143335,2918472092.870077,1609302
143335,2918657081.779767,1609200
143335,2919711240.511271,1608619
143335,2916368135.126358,1610463
143335,2918764095.874756,1609141
143335,2915443064.878763,1610974
143335,2919224890.250216,1608887
143335,2919192230.740783,1608905
143335,2919740281.474049,1608603
143335,2918541007.566192,1609264
143335,2918628062.360802,1609216
143335,2918811257.119596,1609115
143335,2919749356.893394,1608598
143335,2919194045.138803,1608904
143335,2919945399.722722,1608490
143335,2919566044.362556,1608699
209620,2919208763.710297,1176488
209620,2916618116.010337,1177533
209620,2918323211.637897,1176845
209620,2918734914.109965,1176679
209620,2918486886.662662,1176779
209620,2918754758.126953,1176671
209620,2915355449.673738,1178043
209620,2917324200.168529,1177248
209620,2918209145.961691,1176891
209620,2917083845.431882,1177345
209620,2919111996.579764,1176527
209620,2918844059.542679,1176635
209620,2918310812.762884,1176850
209620,2916476940.191408,1177590
209620,2918258738.638304,1176871
209620,2916764259.762848,1177474
209620,2918784524.658376,1176659
209620,2918762199.702890,1176668
209620,2918400087.014600,1176814
209620,2916479416.842379,1177589
306559,2916376924.997532,1722210
306559,2917954325.823995,1721279
306559,2915780972.760342,1722562
306559,2916412486.666678,1722189
306559,2915295248.742054,1722849
306559,2915435702.817446,1722766
306559,2916486999.642887,1722145
306559,2917494992.303448,1721550
306559,2915170036.037594,1722923
306559,2917550918.172751,1721517
306559,2917220478.221677,1721712
306559,2916703786.315699,1722017
306559,2916837600.424638,1721938
306559,2916124631.392178,1722359
306559,2915906237.953472,1722488
306559,2916539499.707917,1722114
306559,2917671250.797295,1721446
306559,2916265165.397416,1722276
306559,2915892695.251542,1722496
306559,2916214368.410724,1722306
448328,2916558846.115057,1259259
448328,2916500944.981434,1259284
448328,2916463889.462399,1259300
448328,2915602614.013807,1259672
448328,2916387465.428127,1259333
448328,2913719768.406789,1260486
448328,2916554213.939763,1259261
448328,2916714032.490676,1259192
448328,2915396631.583292,1259761
