EdgeSize,MegaUpdatesPerSecond,ActualRuntime
244,438.940525,1092987
244,455.705518,1052777
244,455.679115,1052838
244,455.566612,1053098
244,455.783879,1052596
244,455.710712,1052765
244,455.737119,1052704
244,423.079687,1133962
296,447.382655,1582725
296,447.619937,1581886
296,459.388030,1541363
296,447.605506,1581937
296,436.970567,1620438
296,436.545455,1622016
296,415.474058,1704279
296,447.757218,1581401
296,459.299529,1541660
296,448.051026,1580364
296,459.238463,1541865
296,426.047250,1661984
296,447.284591,1583072
296,436.498361,1622191
296,436.499168,1622188
296,459.761181,1540112
296,459.263185,1541782
296,448.096109,1580205
296,459.462254,1541114
296,459.256632,1541804
358,462.028018,1123548
358,453.843432,1143810
358,445.952964,1164048
358,461.785114,1124139
358,461.932635,1123780
358,445.569040,1165051
358,453.879939,1143718
358,461.873861,1123923
358,461.840166,1124005
358,438.323290,1184310
358,461.832770,1124023
358,453.756553,1144029
358,445.567128,1165056
358,461.915782,1123821
358,438.259271,1184483
358,453.868828,1143746
358,461.950310,1123737
358,453.737913,1144076
358,461.840577,1124004
358,453.770436,1143994
432,463.817195,1632864
432,452.587760,1673378
432,463.978592,1632296
432,441.997535,1713472
432,463.947611,1632405
432,463.972339,1632318
432,452.301250,1674438
432,452.730068,1672852
432,458.348554,1652346
432,463.961822,1632355
432,458.225425,1652790
432,452.564771,1673463
432,463.991952,1632249
432,452.662961,1673100
432,452.693265,1672988
432,442.056356,1713244
432,452.699489,1672965
432,463.892196,1632600
432,457.932289,1653848
432,458.243446,1652725
523,464.471966,1196867
523,465.056362,1195363
523,457.338300,1215536
523,453.683189,1225329
523,453.543276,1225707
523,457.305569,1215623
523,461.117416,1205574
523,461.304529,1205085
523,461.077641,1205678
523,446.170959,1245960
523,457.080342,1216222
523,453.455597,1225944
523,457.341310,1215528
523,457.206277,1215887
523,449.775051,1235976
523,464.827324,1195952
523,461.000787,1205879
523,449.828551,1235829
523,463.325717,1199828
523,453.632840,1225465
633,455.962737,1788378
633,458.596288,1778108
633,456.126990,1787734
633,456.020620,1788151
633,456.083365,1787905
633,456.038217,1788082
633,461.491987,1766951
633,458.687607,1777754
633,461.406597,1767278
633,455.731097,1789287
633,464.201613,1756637
633,466.684024,1747293
633,461.385711,1767358
633,461.221042,1767989
633,458.553736,1778273
633,464.020932,1757321
633,463.983968,1757461
633,461.332722,1767561
633,461.216346,1768007
633,458.699218,1777709
765,463.858025,1285180
765,466.629086,1277548
765,463.824461,1285273
765,463.903506,1285054
765,461.523795,1291680
765,459.985028,1296001
765,465.678082,1280157
765,465.056145,1281869
765,467.082441,1276308
765,463.798840,1285344
765,463.369482,1286535
765,467.551345,1275028
765,460.182452,1295445
765,463.931305,1284977
765,463.427836,1286373
765,463.308981,1286703
765,461.470563,1291829
765,465.683538,1280142
765,461.387345,1292062
765,467.606356,1274878
925,462.502172,1886208
925,464.965775,1876214
925,466.851380,1868636
925,463.100010,1883773
925,468.115966,1863588
925,467.891509,1864482
925,462.587272,1885861
925,465.625418,1873556
925,461.247209,1891340
925,466.857376,1868612
925,460.022082,1896377
925,464.395989,1878516
925,466.956585,1868215
925,465.363372,1874611
925,463.839189,1880771
925,462.028436,1888142
925,461.772622,1889188
925,467.711396,1865200
925,464.998242,1876083
925,466.859125,1868605
1119,461.003882,1385708
1119,463.471905,1378329
1119,464.363351,1375683
1119,461.291835,1384843
1119,459.706745,1389618
1119,461.884181,1383067
1119,464.986969,1373838
1119,461.185267,1385163
1119,463.471569,1378330
1119,465.058734,1373626
1119,461.105707,1385402
1119,459.132507,1391356
1119,462.764159,1380437
1119,463.527394,1378164
1119,464.002452,1376753
1119,460.869850,1386111
1119,461.878503,1383084
1119,462.978806,1379797
1119,461.704248,1383606
1119,462.278251,1381888
1354,457.040271,1023856
1354,455.452192,1027426
1354,456.052760,1026073
1354,455.182386,1028035
1354,457.156809,1023595
1354,457.060360,1023811
1354,456.575159,1024899
1354,455.356018,1027643
1354,454.253584,1030137
1354,457.122422,1023672
1354,456.915316,1024136
1354,454.381941,1029846
1354,456.458918,1025160
1354,456.586296,1024874
1354,454.267254,1030106
1354,455.024814,1028391
1354,457.040271,1023856
1354,456.913531,1024140
1354,457.083575,1023759
1354,457.005902,1023933
1637,450.846095,1517914
1637,450.632345,1518634
1637,451.203690,1516711
1637,452.655628,1511846
1637,452.712522,1511656
1637,450.787294,1518112
1637,449.011493,1524116
1637,447.910317,1527863
1637,451.883880,1514428
1637,451.893727,1514395
1637,452.895579,1511045
1637,450.896297,1517745
1637,450.405753,1519398
1637,450.801250,1518065
1637,451.682559,1515103
1637,452.720908,1511628
1637,451.172456,1516816
1637,453.097983,1510370
1637,453.464869,1509148
1637,452.203677,1513357
1980,452.108980,1107693
1980,451.980040,1108009
1980,452.039196,1107864
1980,451.699157,1108698
1980,452.512187,1106706
1980,453.117732,1105227
1980,451.758240,1108553
1980,446.632187,1121276
1980,451.104708,1110159
1980,452.213899,1107436
1980,452.793672,1106018
1980,451.527294,1109120
1980,452.754784,1106113
1980,452.272300,1107293
1980,451.826306,1108386
1980,451.750905,1108571
1980,452.898501,1105762
1980,451.971474,1108030
1980,451.990238,1107984
1980,451.175423,1109985
2394,451.471771,1622190
2394,451.191964,1623196
2394,450.442151,1625898
2394,449.724648,1628492
2394,450.276817,1626495
2394,449.706975,1628556
2394,450.545234,1625526
2394,451.659987,1621514
2394,418.084829,1751733
2394,451.730748,1621260
2394,451.178901,1623243
2394,447.626278,1636126
2394,448.156848,1634189
2394,451.876518,1620737
2394,451.865366,1620777
2394,451.636869,1621597
2394,447.945785,1634959
2394,449.657551,1628735
2394,450.264360,1626540
2394,450.066242,1627256
2896,451.378479,1187507
2896,452.017200,1185829
2896,452.177735,1185408
2896,452.852769,1183641
2896,452.640911,1184195
2896,451.268276,1187797
2896,451.433221,1187363
2896,451.001729,1188499
2896,451.562145,1187024
2896,451.599810,1186925
2896,448.146935,1196070
2896,451.516120,1187145
2896,448.738965,1194492
2896,451.525628,1187120
2896,451.441966,1187340
2896,452.029017,1185798
2896,448.422121,1195336
2896,451.560243,1187029
2896,451.506231,1187171
2896,450.844303,1188914
