ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
67017,731120958.323068,1501790,1000000
67017,730766229.245687,1502519,1000000
67017,730965691.570985,1502109,1000000
67017,731032365.450221,1501972,1000000
98010,730644869.670306,1098867,1000000
98010,730610296.118276,1098919,1000000
98010,730499283.950482,1099086,1000000
98010,730733313.067585,1098734,1000000
98010,730596334.649753,1098940,1000000
98010,730706711.298229,1098774,1000000
98010,730541823.548573,1099022,1000000
98010,730731317.867697,1098737,1000000
98010,730662157.673403,1098841,1000000
98010,730468711.674303,1099132,1000000
98010,730217584.196597,1099510,1000000
98010,730714026.591722,1098763,1000000
98010,730680111.465635,1098814,1000000
98010,730128601.620161,1099644,1000000
98010,730648859.136870,1098861,1000000
98010,730545147.163329,1099017,1000000
98010,730616279.768134,1098910,1000000
98010,730556447.679709,1099000,1000000
98010,730711366.468050,1098767,1000000
98010,730652183.725620,1098856,1000000
143335,730389122.189994,1607603,1000000
143335,730385487.533987,1607611,1000000
143335,730367769.103972,1607650,1000000
143335,730303263.108661,1607792,1000000
143335,730425925.119532,1607522,1000000
143335,730440919.968970,1607489,1000000
143335,730447281.606246,1607475,1000000
143335,730361408.851601,1607664,1000000
143335,730414565.794966,1607547,1000000
143335,729472518.720222,1609623,1000000
143335,730384578.875637,1607613,1000000
143335,730363680.357588,1607659,1000000
143335,730000419.034616,1608459,1000000
143335,730043991.312906,1608363,1000000
143335,729957759.551597,1608553,1000000
143335,730363680.357588,1607659,1000000
143335,730353231.547035,1607682,1000000
143335,730321432.658768,1607752,1000000
143335,730349597.248226,1607690,1000000
143335,730290544.961501,1607820,1000000
209620,729678147.478346,1176688,1000000
209620,729992679.698108,1176181,1000000
209620,730046059.204401,1176095,1000000
209620,730024334.044706,1176130,1000000
209620,730048542.162129,1176091,1000000
209620,730053508.128253,1176083,1000000
209620,729981508.231175,1176199,1000000
209620,729122330.872081,1177585,1000000
209620,730020609.861445,1176136,1000000
209620,730106275.690945,1175998,1000000
209620,730115588.405615,1175983,1000000
209620,730064681.799050,1176065,1000000
209620,729849338.497057,1176412,1000000
209620,729910763.546777,1176313,1000000
209620,729964131.073339,1176227,1000000
209620,730029299.681496,1176122,1000000
209620,729799089.327348,1176493,1000000
209620,729872914.566286,1176374,1000000
209620,729923794.431995,1176292,1000000
209620,730096342.390482,1176014,1000000
306559,729731079.143631,1720707,1000000
306559,729730655.055942,1720708,1000000
306559,729745074.313903,1720674,1000000
306559,729403406.371262,1721480,1000000
306559,729679344.083578,1720829,1000000
306559,729743802.003514,1720677,1000000
306559,729514010.709852,1721219,1000000
306559,729505534.094917,1721239,1000000
306559,729643727.486514,1720913,1000000
306559,729739136.903378,1720688,1000000
306559,729466967.984059,1721330,1000000
306559,729416117.807662,1721450,1000000
306559,729708603.175341,1720760,1000000
306559,729696729.637817,1720788,1000000
306559,729620832.938691,1720967,1000000
306559,729781549.098331,1720588,1000000
306559,729789183.816991,1720570,1000000
306559,729658567.312732,1720878,1000000
306559,729315709.533731,1721687,1000000
306559,729688248.776156,1720808,1000000
448328,729342425.862393,1258909,1000000
448328,729478597.317494,1258674,1000000
448328,728979357.477674,1259536,1000000
448328,729571918.605529,1258513,1000000
448328,729536558.041085,1258574,1000000
448328,729515691.119568,1258610,1000000
448328,729502360.100204,1258633,1000000
448328,729494825.391731,1258646,1000000
448328,729377767.609751,1258848,1000000
448328,729607282.597986,1258452,1000000
448328,729533659.786156,1258579,1000000
448328,729521487.366916,1258600,1000000
448328,729545832.611608,1258558,1000000
448328,729545252.944042,1258559,1000000
448328,729493666.219626,1258648,1000000
448328,729537137.694834,1258573,1000000
448328,729549890.310365,1258551,1000000
448328,729505258.106446,1258628,1000000
448328,729267698.036120,1259038,1000000
448328,729484392.975409,1258664,1000000
655657,729271864.032682,1841266,1000000
655657,729462423.911538,1840785,1000000
655657,729506413.411609,1840674,1000000
655657,729264734.826349,1841284,1000000
655657,729468368.128555,1840770,1000000
655657,729297213.450778,1841202,1000000
655657,729489768.111974,1840716,1000000
655657,729473123.571920,1840758,1000000
655657,729474312.442449,1840755,1000000
655657,729476690.195132,1840749,1000000
655657,729469953.269454,1840766,1000000
655657,728609048.254936,1842941,1000000
655657,729240971.811894,1841344,1000000
655657,729260774.216393,1841294,1000000
655657,729249684.737379,1841322,1000000
655657,729479860.556157,1840741,1000000
655657,729526230.234964,1840624,1000000
655657,729446176.879292,1840826,1000000
655657,729496505.403654,1840699,1000000
655657,729254437.329944,1841310,1000000
958866,729462341.050855,1346028,1000000
958866,729499736.619020,1345959,1000000
958866,729483477.205237,1345989,1000000
958866,729501904.595622,1345955,1000000
958866,729455295.938237,1346041,1000000
958866,729459631.376051,1346033,1000000
958866,729235340.121074,1346447,1000000
958866,729495400.704475,1345967,1000000
958866,729469386.299558,1346015,1000000
958866,729444999.479964,1346060,1000000
958866,729463966.865400,1346025,1000000
958866,729474805.814243,1346005,1000000
958866,729443915.659160,1346062,1000000
958866,729249421.986140,1346421,1000000
958866,729488896.929298,1345979,1000000
958866,729484019.174019,1345988,1000000
958866,729442289.933993,1346065,1000000
958866,729462882.988231,1346027,1000000
958866,729469928.247403,1346014,1000000
958866,729459089.443506,1346034,1000000
1402294,729440676.149407,1968559,1000000
1402294,729431042.093687,1968585,1000000
1402294,729450310.459616,1968533,1000000
1402294,728681848.098735,1970609,1000000
1402294,729467356.401134,1968487,1000000
1402294,729226934.046201,1969136,1000000
1402294,729451051.570943,1968531,1000000
1402294,729352496.981659,1968797,1000000
1402294,729429189.419839,1968590,1000000
1402294,729228045.033017,1969133,1000000
1402294,729454016.031309,1968523,1000000
1402294,729471432.722573,1968476,1000000
1402294,729472544.454509,1968473,1000000
1402294,729453274.913958,1968525,1000000
1402294,729478473.748728,1968457,1000000
1402294,729219157.233273,1969157,1000000
1402294,729433635.852885,1968578,1000000
1402294,729249895.128370,1969074,1000000
1402294,729258413.316872,1969051,1000000
1402294,729380282.233855,1968722,1000000
2050785,729397100.615680,1439547,1000000
2050785,729413314.901199,1439515,1000000
2050785,728988940.905459,1440353,1000000
2050785,729436117.459898,1439470,1000000
2050785,729434090.508061,1439474,1000000
2050785,729456894.365752,1439429,1000000
2050785,729374807.150086,1439591,1000000
2050785,729437130.940042,1439468,1000000
2050785,729451826.718604,1439439,1000000
2050785,729451826.718604,1439439,1000000
2050785,729458414.673627,1439426,1000000
2050785,729445745.634968,1439451,1000000
2050785,729488315.349734,1439367,1000000
2050785,729399634.050274,1439542,1000000
2050785,728791608.218815,1440743,1000000
2050785,728903416.955798,1440522,1000000
2050785,729402674.195018,1439536,1000000
2050785,729055754.637656,1440221,1000000
2050785,729200559.747489,1439935,1000000
2050785,729445238.882575,1439452,1000000
2999171,729409145.794046,1052615,1000000
2999171,729413996.473521,1052608,1000000
2999171,729414689.432998,1052607,1000000
2999171,729420926.127544,1052598,1000000
2999171,729415382.393792,1052606,1000000
2999171,729407066.951164,1052618,1000000
2999171,729432013.847852,1052582,1000000
2999171,729152152.070398,1052986,1000000
2999171,729429934.874618,1052585,1000000
2999171,729418847.217512,1052601,1000000
2999171,729433399.836592,1052580,1000000
2999171,729247724.267891,1052848,1000000
2999171,729416768.319330,1052604,1000000
2999171,729396672.914492,1052633,1000000
2999171,729424391.003930,1052593,1000000
2999171,729436171.829873,1052576,1000000
2999171,729414689.432998,1052607,1000000
2999171,726954690.016465,1056169,1000000
2999171,729410531.695884,1052613,1000000
2999171,729404988.120131,1052621,1000000
4386138,729252709.569482,1539728,1000000
4386138,729436996.009326,1539339,1000000
4386138,729407617.638289,1539401,1000000
4386138,729294864.575397,1539639,1000000
4386138,729424201.911696,1539366,1000000
4386138,729429888.121901,1539354,1000000
4386138,729438891.469368,1539335,1000000
4386138,729464481.144119,1539281,1000000
4386138,729400984.140079,1539415,1000000
4386138,729210559.436608,1539817,1000000
4386138,729181672.833822,1539878,1000000
4386138,729428940.414043,1539356,1000000
4386138,729444104.035278,1539324,1000000
4386138,729422306.527995,1539370,1000000
4386138,729444577.908600,1539323,1000000
4386138,729423254.218614,1539368,1000000
4386138,729470641.889521,1539268,1000000
4386138,729397667.436220,1539422,1000000
4386138,729383927.127268,1539451,1000000
4386138,729444577.908600,1539323,1000000
6414508,729422582.634019,1125626,1000000
6414508,729405086.647484,1125653,1000000
6414508,729405086.647484,1125653,1000000
6414508,729425822.723634,1125621,1000000
6414508,729424526.684334,1125623,1000000
6414508,729453688.682615,1125578,1000000
6414508,729114905.323768,1126101,1000000
6414508,729452392.544288,1125580,1000000
6414508,729405734.632018,1125652,1000000
6414508,729454336.753505,1125577,1000000
6414508,729447856.096419,1125587,1000000
6414508,729420638.594066,1125629,1000000
6414508,729423878.666411,1125624,1000000
6414508,729427766.791220,1125618,1000000
6414508,729423878.666411,1125624,1000000
6414508,729414158.535729,1125639,1000000
6414508,727000595.018842,1129376,1000000
6414508,729443319.704974,1125594,1000000
6414508,729412862.537879,1125641,1000000
6414508,729421934.619550,1125627,1000000
9380897,729415284.281018,1646188,1000000
9380897,729483527.071737,1646034,1000000
9380897,729101708.911795,1646896,1000000
9380897,729424146.259677,1646168,1000000
9380897,729457823.742537,1646092,1000000
9380897,729452506.038501,1646104,1000000
9380897,729464027.828572,1646078,1000000
9380897,729470675.180719,1646063,1000000
9380897,729452062.899997,1646105,1000000
9380897,729477765.823212,1646047,1000000
9380897,729417056.659523,1646184,1000000
9380897,729187605.286202,1646702,1000000
9380897,729446302.148449,1646118,1000000
9380897,729242518.726717,1646578,1000000
9380897,729216832.378255,1646636,1000000
9380897,729426804.895265,1646162,1000000
9380897,729251819.402547,1646557,1000000
9380897,729121631.525864,1646851,1000000
9380897,729460482.623630,1646086,1000000
9380897,729440098.363922,1646132,1000000
13719093,729260722.481684,1203989,1000000
13719093,729154134.192573,1204165,1000000
13719093,729451569.112567,1203674,1000000
13719093,729430358.998728,1203709,1000000
13719093,729433994.930643,1203703,1000000
13719093,729443084.919016,1203688,1000000
13719093,729257088.276945,1203995,1000000
13719093,729460659.538956,1203659,1000000
13719093,729136574.339351,1204194,1000000
13719093,729446720.977800,1203682,1000000
13719093,729178356.067684,1204125,1000000
13719093,729319480.484960,1203892,1000000
13719093,729444902.943877,1203685,1000000
13719093,729369765.469439,1203809,1000000
13719093,729360071.438955,1203825,1000000
13719093,729482477.486721,1203623,1000000
13719093,729005810.313764,1204410,1000000
13719093,729430964.984863,1203708,1000000
13719093,729418239.487459,1203729,1000000
13719093,729204396.378320,1204082,1000000
20063488,727829215.689275,1764237,1000000
20063488,729297950.114842,1760684,1000000
20063488,729382045.020651,1760481,1000000
20063488,729277654.249679,1760733,1000000
20063488,729050334.926491,1761282,1000000
20063488,729265228.767301,1760763,1000000
20063488,729239550.778754,1760825,1000000
20063488,729391159.919089,1760459,1000000
20063488,729427207.431157,1760372,1000000
20063488,729395303.130054,1760449,1000000
20063488,729210975.788435,1760894,1000000
20063488,729128576.401133,1761093,1000000
20063488,728893074.835014,1761662,1000000
20063488,729394888.806839,1760450,1000000
20063488,729436323.458403,1760350,1000000
20063488,729225884.199634,1760858,1000000
20063488,728056599.644154,1763686,1000000
20063488,729144309.519010,1761055,1000000
20063488,729274754.932585,1760740,1000000
20063488,729254460.358396,1760789,1000000
29341848,726295164.138650,1292779,1000000
29341848,726247975.230167,1292863,1000000
29341848,722541553.449609,1299495,1000000
29341848,727277972.970461,1291032,1000000
29341848,727206437.007371,1291159,1000000
29341848,722502078.386169,1299566,1000000
29341848,727225586.988092,1291125,1000000
29341848,715249775.470142,1312743,1000000
29341848,727190667.192281,1291187,1000000
29341848,722397017.899527,1299755,1000000
29341848,726556499.426610,1292314,1000000
29341848,726415973.212932,1292564,1000000
29341848,726347978.045696,1292685,1000000
29341848,726308085.980649,1292756,1000000
29341848,726304715.021017,1292762,1000000
29341848,726406981.386065,1292580,1000000
29341848,726373825.948312,1292639,1000000
29341848,727195735.986828,1291178,1000000
29341848,727199678.431439,1291171,1000000
29341848,727224460.490719,1291127,1000000
42910984,726651289.253627,1889698,1000000
42910984,726686283.444124,1889607,1000000
42910984,726408345.632773,1890330,1000000
42910984,726724742.485738,1889507,1000000
42910984,725832388.745289,1891830,1000000
42910984,726670900.967218,1889647,1000000
42910984,726725511.708093,1889505,1000000
42910984,726766282.823268,1889399,1000000
42910984,726668209.100714,1889654,1000000
42910984,726638599.885381,1889731,1000000
42910984,725804382.148556,1891903,1000000
42910984,726681668.632671,1889619,1000000
42910984,725820495.268944,1891861,1000000
42910984,726761282.346042,1889412,1000000
42910984,725794791.345125,1891928,1000000
42910984,721656551.450853,1902777,1000000
42910984,726673592.853665,1889640,1000000
42910984,726677438.440330,1889630,1000000
42910984,725777912.146691,1891972,1000000
42910984,722035256.462502,1901779,1000000
62755168,726605755.488353,1381881,1000000
62755168,726151215.046003,1382746,1000000
62755168,726216339.679247,1382622,1000000
62755168,725740778.647053,1383528,1000000
62755168,725673641.425325,1383656,1000000
62755168,725720845.987831,1383566,1000000
62755168,725767532.094859,1383477,1000000
62755168,725739729.532428,1383530,1000000
62755168,725731861.269420,1383545,1000000
62755168,726607858.731276,1381877,1000000
62755168,726639408.836336,1381817,1000000
62755168,726643089.860401,1381810,1000000
62755168,725761236.988512,1383489,1000000
62755168,721737006.030033,1391203,1000000
62755168,726458558.735198,1382161,1000000
62755168,726654659.035974,1381788,1000000
62755168,725725042.246151,1383558,1000000
62755168,726319302.443675,1382426,1000000
62755168,721608888.569478,1391450,1000000
62755168,723108684.943582,1388564,1000000
91776294,726544564.302049,1010551,1000000
91776294,726481301.434043,1010639,1000000
91776294,726529466.480370,1010572,1000000
91776294,726563257.712575,1010525,1000000
91776294,726581952.085059,1010499,1000000
91776294,726298045.096716,1010894,1000000
91776294,726605680.943248,1010466,1000000
91776294,721459973.881591,1017673,1000000
91776294,726550316.018220,1010543,1000000
91776294,726571885.764953,1010513,1000000
91776294,726563257.712575,1010525,1000000
91776294,721459973.881591,1017673,1000000
91776294,726478426.110902,1010643,1000000
91776294,726573323.793605,1010511,1000000
91776294,726556786.807767,1010534,1000000
91776294,726571166.752761,1010514,1000000
91776294,721357193.525758,1017818,1000000
91776294,721467772.207275,1017662,1000000
91776294,726525871.853406,1010577,1000000
91776294,721354358.620663,1017822,1000000
134218240,725628043.172245,1479747,1000000
134218240,721524402.904789,1488163,1000000
134218240,726508840.267586,1477953,1000000
134218240,726480330.660597,1478011,1000000
134218240,726547675.918245,1477874,1000000
134218240,726546692.685990,1477876,1000000
134218240,726546201.070860,1477877,1000000
134218240,726479839.135271,1478012,1000000
134218240,726574715.848152,1477819,1000000
134218240,726504907.774968,1477961,1000000
134218240,726571765.939810,1477825,1000000
134218240,726563407.996254,1477842,1000000
134218240,726554558.618543,1477860,1000000
134218240,721744103.353476,1487710,1000000
134218240,721633993.912377,1487937,1000000
134218240,726561933.084999,1477845,1000000
134218240,726536368.907982,1477897,1000000
134218240,726506382.454711,1477958,1000000
134218240,721519069.678680,1488174,1000000
134218240,725689344.981353,1479622,1000000
