ArraySize,AdditionsPerSecond,ActualRuntime
91776294,2069457292.324344,1419136
91776294,2068620594.346733,1419710
91776294,2063742190.453570,1423066
91776294,2043941438.645038,1436852
91776294,2059537917.671537,1425971
91776294,2061965765.446973,1424292
91776294,2061372374.012250,1424702
91776294,2069282316.932252,1419256
91776294,2070561777.916904,1418379
91776294,2061062788.262606,1424916
134218240,2061629110.793666,1041648
134218240,2065696457.377234,1039597
134218240,2066404077.591242,1039241
134218240,2061122560.235876,1041904
134218240,2061668695.541979,1041628
134218240,2060823891.253341,1042055
134218240,2069728018.874835,1037572
134218240,2049049361.524288,1048043
134218240,2061387676.742467,1041770
134218240,2063499169.792756,1040704
134218240,2060835757.243661,1042049
134218240,2061486618.285144,1041720
134218240,2061292701.796283,1041818
134218240,2063368313.844558,1040770
134218240,2063637974.542442,1040634
134218240,2061585569.326178,1041670
134218240,2050499130.145842,1047302
134218240,2049790619.893401,1047664
134218240,2060377038.437811,1042281
134218240,2063675653.339612,1040615
